=============================================
  MBL Simulation Suite — Started: Sun Apr 12 03:01:41 PM IST 2026
=============================================

>>> Starting 01_reproduce_fig3.py at Sun Apr 12 03:01:41 PM IST 2026
---------------------------------------------
Building basis...
Hilbert space dimension: 4900
Initial state: |10101010>(x)|10101010>

--- Disorder strength w = 1.00 ---
  realization 67/100 completed in 10.89 s
  realization 68/100 completed in 10.31 s
  realization 69/100 completed in 11.47 s
  realization 70/100 completed in 10.84 s
  realization 71/100 completed in 11.51 s
  realization 72/100 completed in 9.98 s
  realization 73/100 completed in 10.42 s
  realization 74/100 completed in 10.92 s
  realization 75/100 completed in 11.50 s
  realization 76/100 completed in 10.44 s
  realization 77/100 completed in 9.85 s
  realization 78/100 completed in 10.86 s
  realization 79/100 completed in 10.72 s
  realization 80/100 completed in 10.32 s
  realization 81/100 completed in 10.35 s
  realization 82/100 completed in 11.13 s
  realization 83/100 completed in 8.40 s
  realization 84/100 completed in 10.50 s
  realization 85/100 completed in 11.15 s
  realization 86/100 completed in 7.50 s
  realization 87/100 completed in 9.03 s
  realization 88/100 completed in 10.30 s
  realization 89/100 completed in 11.02 s
  realization 90/100 completed in 9.46 s
  realization 91/100 completed in 8.94 s
  realization 92/100 completed in 10.85 s
  realization 93/100 completed in 9.21 s
  realization 94/100 completed in 10.61 s
  realization 95/100 completed in 10.74 s
  realization 96/100 completed in 11.15 s
  realization 97/100 completed in 10.52 s
  realization 98/100 completed in 11.09 s
  realization 99/100 completed in 10.84 s
  realization 100/100 completed in 10.91 s
All realizations for w=4.00 completed in 1049.8 s

--- Disorder strength w = 10.00 ---
  realization 1/100 completed in 10.93 s
  realization 2/100 completed in 9.60 s
  realization 3/100 completed in 9.45 s
  realization 4/100 completed in 9.84 s
  realization 5/100 completed in 9.83 s
  realization 6/100 completed in 10.69 s
  realization 7/100 completed in 10.58 s
  realization 8/100 completed in 10.48 s
  realization 9/100 completed in 9.68 s
  realization 10/100 completed in 9.44 s
  realization 11/100 completed in 9.04 s
  realization 12/100 completed in 9.77 s
  realization 13/100 completed in 9.85 s
  realization 14/100 completed in 9.98 s
  realization 15/100 completed in 10.11 s
  realization 16/100 completed in 9.78 s
  realization 17/100 completed in 11.55 s
  realization 18/100 completed in 9.91 s
  realization 19/100 completed in 10.34 s
  realization 20/100 completed in 10.10 s
  realization 21/100 completed in 10.54 s
  realization 22/100 completed in 11.75 s
  realization 23/100 completed in 10.97 s
  realization 24/100 completed in 9.89 s
  realization 25/100 completed in 9.92 s
  realization 26/100 completed in 9.64 s
  realization 27/100 completed in 9.44 s
  realization 28/100 completed in 9.59 s
  realization 29/100 completed in 11.82 s
  realization 30/100 completed in 9.58 s
  realization 31/100 completed in 11.48 s
  realization 32/100 completed in 10.29 s
  realization 33/100 completed in 11.30 s
  realization 34/100 completed in 9.77 s
  realization 35/100 completed in 10.18 s
  realization 36/100 completed in 11.50 s
  realization 37/100 completed in 10.93 s
  realization 38/100 completed in 10.47 s
  realization 39/100 completed in 9.94 s
  realization 40/100 completed in 9.68 s
